date,source,package,daily_downloads,weekly_downloads
2025-08-05,npm,@microsoft/winappcli,0,0
2025-08-06,npm,@microsoft/winappcli,0,0
2025-08-07,npm,@microsoft/winappcli,0,0
2025-08-08,npm,@microsoft/winappcli,0,0
2025-08-09,npm,@microsoft/winappcli,0,0
2025-08-10,npm,@microsoft/winappcli,0,0
2025-08-11,npm,@microsoft/winappcli,0,0
2025-08-12,npm,@microsoft/winappcli,0,0
2025-08-13,npm,@microsoft/winappcli,0,0
2025-08-14,npm,@microsoft/winappcli,0,0
2025-08-15,npm,@microsoft/winappcli,0,0
2025-08-16,npm,@microsoft/winappcli,0,0
2025-08-17,npm,@microsoft/winappcli,0,0
2025-08-18,npm,@microsoft/winappcli,0,0
2025-08-19,npm,@microsoft/winappcli,0,0
2025-08-20,npm,@microsoft/winappcli,0,0
2025-08-21,npm,@microsoft/winappcli,0,0
2025-08-22,npm,@microsoft/winappcli,0,0
2025-08-23,npm,@microsoft/winappcli,0,0
2025-08-24,npm,@microsoft/winappcli,0,0
2025-08-25,npm,@microsoft/winappcli,0,0
2025-08-26,npm,@microsoft/winappcli,0,0
2025-08-27,npm,@microsoft/winappcli,0,0
2025-08-28,npm,@microsoft/winappcli,0,0
2025-08-29,npm,@microsoft/winappcli,0,0
2025-08-30,npm,@microsoft/winappcli,0,0
2025-08-31,npm,@microsoft/winappcli,0,0
2025-09-01,npm,@microsoft/winappcli,0,0
2025-09-02,npm,@microsoft/winappcli,0,0
2025-09-03,npm,@microsoft/winappcli,0,0
2025-09-04,npm,@microsoft/winappcli,0,0
2025-09-05,npm,@microsoft/winappcli,0,0
2025-09-06,npm,@microsoft/winappcli,0,0
2025-09-07,npm,@microsoft/winappcli,0,0
2025-09-08,npm,@microsoft/winappcli,0,0
2025-09-09,npm,@microsoft/winappcli,0,0
2025-09-10,npm,@microsoft/winappcli,0,0
2025-09-11,npm,@microsoft/winappcli,0,0
2025-09-12,npm,@microsoft/winappcli,0,0
2025-09-13,npm,@microsoft/winappcli,0,0
2025-09-14,npm,@microsoft/winappcli,0,0
2025-09-15,npm,@microsoft/winappcli,0,0
2025-09-16,npm,@microsoft/winappcli,0,0
2025-09-17,npm,@microsoft/winappcli,0,0
2025-09-18,npm,@microsoft/winappcli,0,0
2025-09-19,npm,@microsoft/winappcli,0,0
2025-09-20,npm,@microsoft/winappcli,0,0
2025-09-21,npm,@microsoft/winappcli,0,0
2025-09-22,npm,@microsoft/winappcli,0,0
2025-09-23,npm,@microsoft/winappcli,0,0
2025-09-24,npm,@microsoft/winappcli,0,0
2025-09-25,npm,@microsoft/winappcli,0,0
2025-09-26,npm,@microsoft/winappcli,0,0
2025-09-27,npm,@microsoft/winappcli,0,0
2025-09-28,npm,@microsoft/winappcli,0,0
2025-09-29,npm,@microsoft/winappcli,0,0
2025-09-30,npm,@microsoft/winappcli,0,0
2025-10-01,npm,@microsoft/winappcli,0,0
2025-10-02,npm,@microsoft/winappcli,0,0
2025-10-03,npm,@microsoft/winappcli,0,0
2025-10-04,npm,@microsoft/winappcli,0,0
2025-10-05,npm,@microsoft/winappcli,0,0
2025-10-06,npm,@microsoft/winappcli,0,0
2025-10-07,npm,@microsoft/winappcli,0,0
2025-10-08,npm,@microsoft/winappcli,0,0
2025-10-09,npm,@microsoft/winappcli,0,0
2025-10-10,npm,@microsoft/winappcli,0,0
2025-10-11,npm,@microsoft/winappcli,0,0
2025-10-12,npm,@microsoft/winappcli,0,0
2025-10-13,npm,@microsoft/winappcli,0,0
2025-10-14,npm,@microsoft/winappcli,0,0
2025-10-15,npm,@microsoft/winappcli,0,0
2025-10-16,npm,@microsoft/winappcli,0,0
2025-10-17,npm,@microsoft/winappcli,0,0
2025-10-18,npm,@microsoft/winappcli,0,0
2025-10-19,npm,@microsoft/winappcli,0,0
2025-10-20,npm,@microsoft/winappcli,0,0
2025-10-21,npm,@microsoft/winappcli,0,0
2025-10-22,npm,@microsoft/winappcli,0,0
2025-10-23,npm,@microsoft/winappcli,0,0
2025-10-24,npm,@microsoft/winappcli,0,0
2025-10-25,npm,@microsoft/winappcli,0,0
2025-10-26,npm,@microsoft/winappcli,0,0
2025-10-27,npm,@microsoft/winappcli,0,0
2025-10-28,npm,@microsoft/winappcli,0,0
2025-10-29,npm,@microsoft/winappcli,0,0
2025-10-30,npm,@microsoft/winappcli,0,0
2025-10-31,npm,@microsoft/winappcli,0,0
2025-11-01,npm,@microsoft/winappcli,0,0
2025-11-02,npm,@microsoft/winappcli,0,0
2025-11-03,npm,@microsoft/winappcli,0,0
2025-11-04,npm,@microsoft/winappcli,0,0
2025-11-05,npm,@microsoft/winappcli,0,0
2025-11-06,npm,@microsoft/winappcli,0,0
2025-11-07,npm,@microsoft/winappcli,0,0
2025-11-08,npm,@microsoft/winappcli,0,0
2025-11-09,npm,@microsoft/winappcli,0,0
2025-11-10,npm,@microsoft/winappcli,0,0
2025-11-11,npm,@microsoft/winappcli,0,0
2025-11-12,npm,@microsoft/winappcli,0,0
2025-11-13,npm,@microsoft/winappcli,0,0
2025-11-14,npm,@microsoft/winappcli,0,0
2025-11-15,npm,@microsoft/winappcli,0,0
2025-11-16,npm,@microsoft/winappcli,0,0
2025-11-17,npm,@microsoft/winappcli,0,0
2025-11-18,npm,@microsoft/winappcli,0,0
2025-11-19,npm,@microsoft/winappcli,0,0
2025-11-20,npm,@microsoft/winappcli,0,0
2025-11-21,npm,@microsoft/winappcli,0,0
2025-11-22,npm,@microsoft/winappcli,0,0
2025-11-23,npm,@microsoft/winappcli,0,0
2025-11-24,npm,@microsoft/winappcli,85,85
2025-11-25,npm,@microsoft/winappcli,11,96
2025-11-26,npm,@microsoft/winappcli,2,98
2025-11-27,npm,@microsoft/winappcli,0,98
2025-11-28,npm,@microsoft/winappcli,0,98
2025-11-29,npm,@microsoft/winappcli,2,100
2025-11-30,npm,@microsoft/winappcli,0,100
2025-12-01,npm,@microsoft/winappcli,1,16
2025-12-02,npm,@microsoft/winappcli,3,8
2025-12-03,npm,@microsoft/winappcli,1,7
2025-12-04,npm,@microsoft/winappcli,6,13
2025-12-05,npm,@microsoft/winappcli,6,19
2025-12-06,npm,@microsoft/winappcli,0,17
2025-12-07,npm,@microsoft/winappcli,0,17
2025-12-08,npm,@microsoft/winappcli,1,17
2025-12-09,npm,@microsoft/winappcli,0,14
2025-12-10,npm,@microsoft/winappcli,4,17
2025-12-11,npm,@microsoft/winappcli,0,11
2025-12-12,npm,@microsoft/winappcli,1,6
2025-12-13,npm,@microsoft/winappcli,2,8
2025-12-14,npm,@microsoft/winappcli,0,8
2025-12-15,npm,@microsoft/winappcli,1,8
